split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,LONG_OR_FLAT_FILTERED,20180926,104600,162900,2018-09-26 10:46:00,2018-09-26 16:29:00,27862.0,27805.0,1,-59.0,-2950.0,283,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180927,104000,112100,2018-09-27 10:40:00,2018-09-27 11:21:00,27932.0,27770.0,1,-164.0,-8200.0,41,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20180928,162700,162900,2018-09-28 16:27:00,2018-09-28 16:29:00,27848.0,27845.0,1,-5.0,-250.0,2,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181003,102200,113600,2018-10-03 10:22:00,2018-10-03 11:36:00,27169.0,26992.0,1,-179.0,-8950.0,74,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181005,141000,162900,2018-10-05 14:10:00,2018-10-05 16:29:00,26604.0,26459.0,1,-147.0,-7350.0,139,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181009,130700,141400,2018-10-09 13:07:00,2018-10-09 14:14:00,26322.0,26157.0,1,-167.0,-8350.0,67,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181010,105900,162900,2018-10-10 10:59:00,2018-10-10 16:29:00,26209.0,26163.0,1,-48.0,-2400.0,270,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181011,152800,155500,2018-10-11 15:28:00,2018-10-11 15:55:00,25391.0,25225.0,1,-168.0,-8400.0,27,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181012,113800,162900,2018-10-12 11:38:00,2018-10-12 16:29:00,25500.0,25698.0,1,196.0,9800.0,231,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181016,105800,113100,2018-10-16 10:58:00,2018-10-16 11:31:00,25524.0,25361.0,1,-165.0,-8250.0,33,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181019,110600,162900,2018-10-19 11:06:00,2018-10-19 16:29:00,25484.0,25458.0,1,-28.0,-1400.0,263,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181022,101500,162900,2018-10-22 10:15:00,2018-10-22 16:29:00,25938.0,26101.0,1,161.0,8050.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181024,112200,132300,2018-10-24 11:22:00,2018-10-24 13:23:00,25585.0,25396.0,1,-191.0,-9550.0,61,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181025,155500,162900,2018-10-25 15:55:00,2018-10-25 16:29:00,24934.0,24900.0,1,-36.0,-1800.0,34,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181030,110700,140400,2018-10-30 11:07:00,2018-10-30 14:04:00,24872.0,24706.0,1,-168.0,-8400.0,117,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20181031,132900,162900,2018-10-31 13:29:00,2018-10-31 16:29:00,24875.0,24910.0,1,33.0,1650.0,180,session_end,LONG_FILTERED,TREND
